54,53,BD-06 1339 c,3,125.94,0.435,0.31,0.17,Msini,,,0,0,0,0,5/14/2014,24
55,55,BD-08 2823 b,3,5.6,0.06,0.15,0.04,Msini,,,0,0,0,0,9/6/2018,24
56,55,BD-08 2823 c,3,237.6,0.68,0.19,0.33,Msini,,,0,0,0,0,5/14/2014,24
57,57,BD-10 3166 b,3,3.48777,0.04,0.02,0.59,Msini,,,0,0,0,0,9/6/2018,52
58,58,BD-11 4672 b,3,1667,2.28,0.05,0.53,Msini,,,0,0,0,0,1/8/2015,24
59,59,BD-13 2130 b,3,714.29999,1.66,0.21,9.78,Msini,,,0,0,0,0,9/6/2018,24
60,60,BD-17 63 b,3,655.59998,1.34,0.54,2.85,Msini,,,0,0,0,0,9/6/2018,24
61,61,CFBDSIR J145829+101343 b,8,10037.5,2.6,,10.5,Mass,,,0,0,0,1,5/14/2014,52
62,62,CHXR 73 b,8,,210,,12.569,Mass,,,0,0,0,0,5/14/2014,15
63,63,CT Cha b,8,,440,,17,Mass,2.2,,0,0,0,0,5/14/2014,39
64,64,CoRoT-1 b,2,1.5089557,,0,1.03,Mass,1.49,0.38,0,0,0,0,5/14/2014,8
65,65,CoRoT-10 b,2,13.2406,0.1055,0.53,2.75,Mass,0.97,3.7,0,0,0,0,5/14/2014,8
66,66,CoRoT-11 b,2,2.99433,0.0436,0,2.33,Mass,1.43,0.99,0,0,0,0,5/14/2014,8
67,67,CoRoT-12 b,2,2.828042,0.04016,0.07,0.917,Mass,1.44,0.411,0,0,0,0,5/14/2014,8
68,68,CoRoT-13 b,2,4.03519,0.051,0,1.308,Mass,0.885,2.34,0,0,0,0,5/14/2014,8
69,69,CoRoT-14 b,2,1.51214,0.027,0,7.6,Mass,1.09,7.3,0,0,0,0,5/14/2014,8
70,70,CoRoT-16 b,2,5.35227,0.0618,0.33,0.535,Mass,1.17,0.44,0,0,0,0,5/14/2014,8
71,71,CoRoT-17 b,2,3.7681,0.0461,0,2.43,Mass,1.02,2.82,0,0,0,0,5/14/2014,8
72,72,CoRoT-18 b,2,1.9000693,0.0295,0.08,3.47,Mass,1.31,2.2,0,0,0,0,5/14/2014,8
73,73,CoRoT-19 b,2,3.89713,0.0518,0.047,1.11,Mass,1.29,0.71,0,0,0,0,5/14/2014,8
74,74,CoRoT-2 b,2,1.7429935,0.02798,0.0143,3.47,Mass,1.466,1.47,0,0,0,1,5/14/2014,8
75,75,CoRoT-20 b,2,9.24285,0.09,0.59,4.3,Mass,,,0,0,0,1,7/19/2018,8
76,75,CoRoT-20 c,3,1675,2.9,0.6,17,Msini,,,0,0,0,0,7/19/2018,34
77,77,CoRoT-22 b,2,9.75598,0.092,0.077,0.038,Mass,0.435,0.249,0,0,0,0,8/21/2014,8
78,78,CoRoT-23 b,2,3.6313,0.048,0.16,2.8,Mass,1.05,3,0,0,0,0,5/14/2014,8
79,79,CoRoT-24 b,2,5.1134,0.056,0,0.018,Mass,0.33,0.9,0,0,0,0,5/31/2018,8
80,79,CoRoT-24 c,2,11.759,0.098,0,0.088,Mass,0.44,1.3,0,0,0,0,6/11/2014,8
81,81,CoRoT-25 b,2,4.86069,0.0578,0,0.27,Mass,1.08,0.15,0,0,0,0,5/14/2014,8
82,82,CoRoT-26 b,2,4.20474,0.0526,0,0.52,Mass,1.26,0.28,0,0,0,0,5/14/2014,8
83,83,CoRoT-27 b,2,3.57532,0.0476,0.065,10.39,Mass,1.007,12.6,0,0,0,0,5/14/2014,8
84,84,CoRoT-28 b,2,5.20851,0.0603,0.047,0.484,Mass,0.955,0.69,0,0,0,0,4/16/2015,8
85,85,CoRoT-29 b,2,2.85057,0.0386,0.082,0.85,Mass,0.9,1.45,0,0,0,0,4/16/2015,8
86,86,CoRoT-3 b,2,4.2568,,0,21.66,Mass,1.01,26.4,0,0,0,0,5/14/2014,8
87,87,CoRoT-4 b,2,9.20205,0.09,0,0.72,Mass,1.19,0.525,0,0,0,0,5/14/2014,8
88,88,CoRoT-5 b,2,4.0378962,0.04947,0.09,0.467,Mass,1.388,0.217,0,0,0,0,5/14/2014,8
89,89,CoRoT-6 b,2,8.886593,0.0855,0.1,2.96,Mass,1.166,2.32,0,0,0,0,5/14/2014,8
90,90,CoRoT-7 b,2,0.85359,,0,0.01,Mass,0.15,,0,0,0,0,4/26/2018,8
91,90,CoRoT-7 c,3,3.698,0.046,0,0.02643,Mass,,,0,0,0,0,9/10/2015,8
92,92,CoRoT-8 b,2,6.21229,0.063,0,0.22,Mass,0.57,1.6,0,0,0,0,5/14/2014,8
93,93,CoRoT-9 b,2,95.272656,0.4021,0.133,0.84,Mass,1.066,0.86,0,0,0,1,12/14/2017,8
94,94,CoRoTID 223977153 b,2,6.71837,0.071,,0.15,Mass,0.57,1.1,0,0,0,0,9/15/2017,8
95,95,DENIS-P J082303.1-491201 b,10,246.36,0.36,0.345,28.5,Mass,,,0,0,0,0,5/14/2014,39
96,96,DH Tau b,8,,330,,11,Mass,,,0,0,0,1,5/14/2014,44
97,97,DP Leo b,9,10220,8.19,0.39,6.05,Msini,,,0,0,0,0,5/14/2014,55
98,98,EPIC 211822797 b,2,21.169861,0.131,0.06,,,0.177,,0,0,1,1,10/26/2017,17
99,99,EPIC 211945201 b,2,19.49213,0.148,0,0.08495,Mass,0.546,0.65,0,0,0,0,5/31/2018,17
100,100,EPIC 220674823 b,2,0.571292,0.0116,0,0.0263,Mass,0.136,13.1,0,0,1,1,6/21/2018,17
101,100,EPIC 220674823 c,2,13.3397,0.105,0.18,0.01825,Mass,0.223,2,0,0,1,1,6/21/2018,17
102,102,EPIC 246851721 b,2,6.180235,0.07229,,3,Mass,1.051,3.1,0,0,1,0,10/11/2018,17
103,103,FU Tau b,8,,800,,16,Mass,,,0,0,0,1,3/10/2016,43
